date,actual,prediction
2016-10-20,3318.6,3318.6
2016-10-21,3327.74,3318.6
2016-10-24,3367.58,3323.17
2016-10-25,3367.45,3337.9733333333334
2016-10-26,3354.8,3345.3424999999997
2016-10-27,3345.7,3347.2339999999995
2016-10-28,3340.13,3346.978333333333
2016-10-31,3336.28,3346.0
2016-11-01,3359.05,3344.785
2016-11-02,3333.35,3346.37
2016-11-03,3365.08,3345.068
2016-11-04,3354.17,3349.7159999999994
2016-11-07,3356.59,3352.3589999999995
2016-11-08,3371.12,3351.2600000000007
2016-11-09,3353.05,3351.6269999999995
2016-11-10,3390.61,3351.4519999999998
2016-11-11,3417.22,3355.9429999999993
2016-11-14,3430.25,3363.6520000000005
2016-11-15,3429.87,3373.049
2016-11-16,3429.59,3380.1310000000003
2016-11-17,3436.53,3389.7549999999997
2016-11-18,3417.46,3396.9
2016-11-21,3441.11,3403.2290000000003
2016-11-22,3468.36,3411.6809999999996
2016-11-23,3474.73,3421.405
2016-11-24,3488.74,3433.5730000000003
2016-11-25,3521.3,3443.386
2016-11-28,3535.08,3453.7940000000003
2016-11-29,3564.04,3464.2769999999996
2016-11-30,3538.0,3477.6940000000004
2016-12-01,3565.04,3488.535
2016-12-02,3528.95,3501.386
2016-12-05,3469.41,3512.535
2016-12-06,3459.15,3515.3650000000002
2016-12-07,3475.75,3514.4439999999995
2016-12-08,3470.14,3514.546
2016-12-09,3493.7,3512.686
2016-12-12,3409.18,3509.9259999999995
2016-12-13,3405.04,3497.3359999999993
2016-12-14,3378.95,3481.436
2016-12-15,3340.43,3465.531
2016-12-16,3346.03,3443.0699999999997
2016-12-19,3328.98,3424.778
2016-12-20,3309.06,3410.7349999999997
2016-12-21,3338.54,3395.726
2016-12-22,3335.67,3382.0049999999997
2016-12-23,3307.6,3368.558
2016-12-26,3322.4,3349.9479999999994
2016-12-27,3316.39,3341.2699999999995
2016-12-28,3301.89,3332.405
2016-12-29,3297.76,3324.6989999999996
2016-12-30,3310.08,3320.432
2017-01-03,3342.23,3316.8370000000004
2017-01-04,3368.31,3318.1620000000003
2017-01-05,3367.79,3324.0869999999995
2017-01-06,3347.67,3327.012
2017-01-09,3363.9,3328.2120000000004
2017-01-10,3358.27,3333.8419999999996
2017-01-11,3334.5,3337.429
2017-01-12,3317.62,3339.2399999999993
2017-01-13,3319.91,3340.8130000000006
2017-01-16,3319.45,3343.028
2017-01-17,3326.36,3343.965
2017-01-18,3339.37,3342.3779999999997
2017-01-19,3329.29,3339.4840000000004
2017-01-20,3354.89,3335.6339999999996
2017-01-23,3364.08,3336.3560000000007
2017-01-24,3364.45,3336.374
2017-01-25,3375.9,3336.9919999999997
2017-01-26,3387.96,3341.132
2017-02-03,3364.49,3348.166
2017-02-06,3373.21,3352.624
2017-02-07,3365.68,3358.0
2017-02-08,3383.29,3361.932
2017-02-09,3396.29,3366.3239999999996
2017-02-10,3413.49,3373.024
2017-02-13,3436.27,3378.8839999999996
2017-02-14,3435.8,3386.102999999999
2017-02-15,3421.71,3393.2380000000003
2017-02-16,3440.93,3397.8190000000004
2017-02-17,3421.44,3403.1159999999995
2017-02-20,3471.39,3408.811
2017-02-21,3482.82,3418.629
2017-02-22,3489.76,3430.343
2017-02-23,3473.32,3440.9900000000002
2017-02-24,3473.85,3448.693
2017-02-27,3446.22,3454.7290000000003
2017-02-28,3452.81,3455.7239999999997
2017-03-01,3458.44,3457.425
2017-03-02,3435.1,3461.0980000000004
2017-03-03,3427.86,3460.5150000000003
2017-03-06,3446.48,3461.157
2017-03-07,3453.96,3458.666
2017-03-08,3448.73,3455.78
2017-03-09,3426.94,3451.6770000000006
2017-03-10,3427.89,3447.0389999999998
2017-03-13,3458.1,3442.443
2017-03-14,3456.69,3443.631
2017-03-15,3463.64,3444.0190000000002
2017-03-16,3481.51,3444.5389999999998
2017-03-17,3445.81,3449.1800000000003
2017-03-20,3449.61,3450.975
2017-03-21,3466.35,3451.2879999999996
2017-03-22,3450.05,3452.5269999999996
2017-03-23,3461.98,3452.6589999999997
2017-03-24,3489.6,3456.1629999999996
2017-03-27,3478.04,3462.334
2017-03-28,3469.81,3464.328
2017-03-29,3465.19,3465.6400000000003
2017-03-30,3436.76,3465.7949999999996
2017-03-31,3456.05,3461.3199999999997
2017-04-05,3503.89,3462.344
2017-04-06,3514.05,3467.772
2017-04-07,3517.46,3472.5420000000004
2017-04-10,3505.14,3479.2830000000004
2017-04-11,3517.33,3483.5989999999997
2017-04-12,3509.44,3486.3720000000003
2017-04-13,3514.57,3489.512
2017-04-14,3486.5,3493.9880000000003
2017-04-17,3479.94,3496.119
2017-04-18,3462.74,3500.4370000000004
2017-04-19,3445.88,3501.1059999999998
2017-04-20,3461.55,3495.3049999999994
2017-04-21,3466.79,3490.0550000000003
2017-04-24,3431.26,3484.988
2017-04-25,3440.97,3477.6
2017-04-26,3445.18,3469.964
2017-04-27,3446.72,3463.5379999999996
2017-04-28,3439.75,3456.7529999999997
2017-05-02,3426.58,3452.078
2017-05-03,3413.13,3446.7419999999997
2017-05-04,3404.39,3441.781
2017-05-05,3382.55,3437.632
2017-05-08,3358.81,3429.732
2017-05-09,3352.53,3418.9339999999997
2017-05-10,3337.7,3411.061
2017-05-11,3356.65,3400.7339999999995
2017-05-12,3385.38,3391.881
2017-05-15,3399.19,3385.7470000000003
2017-05-16,3428.65,3381.6910000000003
2017-05-17,3409.97,3381.8979999999997
2017-05-18,3398.11,3381.582
2017-05-19,3403.85,3380.954
2017-05-22,3411.24,3383.084
2017-05-23,3424.19,3388.3269999999998
2017-05-24,3424.17,3395.493
2017-05-25,3485.66,3404.1400000000003
2017-05-26,3480.43,3417.041
2017-05-31,3492.88,3426.546
2017-06-01,3497.74,3435.915
2017-06-02,3486.51,3442.8240000000005
2017-06-05,3468.75,3450.478
2017-06-06,3492.88,3457.542
2017-06-07,3533.87,3466.4449999999997
2017-06-08,3560.98,3478.708
2017-06-09,3576.17,3492.387
2017-06-12,3574.39,3507.5870000000004
2017-06-13,3582.27,3516.46
2017-06-14,3535.3,3526.6439999999993
2017-06-15,3528.79,3530.886
2017-06-16,3518.76,3533.9909999999995
2017-06-19,3553.67,3537.2160000000003
2017-06-20,3546.49,3545.708
2017-06-21,3587.96,3551.0689999999995
2017-06-22,3590.34,3556.478
2017-06-23,3622.88,3559.4139999999998
2017-06-26,3668.09,3564.085
2017-06-27,3674.72,3573.4550000000004
2017-06-28,3646.17,3582.7
2017-06-29,3668.83,3593.7870000000003
2017-06-30,3666.8,3607.791
2017-07-03,3650.85,3622.5950000000003
2017-07-04,3619.98,3632.3129999999996
2017-07-05,3659.68,3639.6620000000003
2017-07-06,3660.1,3646.8340000000003
2017-07-07,3655.93,3653.81
2017-07-10,3653.69,3657.1150000000002
2017-07-11,3670.81,3655.675
2017-07-12,3658.82,3655.2839999999997
2017-07-13,3686.92,3656.549
2017-07-14,3703.09,3658.3579999999993
2017-07-17,3663.56,3661.9869999999996
2017-07-18,3667.18,3663.2580000000003
2017-07-19,3729.75,3667.978
2017-07-20,3747.88,3674.9849999999997
2017-07-21,3728.6,3683.763
2017-07-24,3743.47,3691.0299999999997
2017-07-25,3719.56,3700.0080000000003
2017-07-26,3705.39,3704.8829999999994
2017-07-27,3712.19,3709.54
2017-07-28,3721.89,3712.067
2017-07-31,3737.87,3713.947
2017-08-01,3770.38,3721.3780000000006
2017-08-02,3760.85,3731.6979999999994
2017-08-03,3727.83,3734.8079999999995
2017-08-04,3707.58,3732.803
2017-08-07,3726.79,3730.701
2017-08-08,3732.21,3729.0330000000004
2017-08-09,3731.04,3730.298
2017-08-10,3715.92,3732.863
2017-08-11,3647.35,3733.236
2017-08-14,3694.68,3725.782
2017-08-15,3706.06,3721.4629999999997
2017-08-16,3701.42,3715.031
2017-08-17,3721.28,3709.0879999999997
2017-08-18,3724.67,3708.4329999999995
2017-08-21,3740.99,3710.142
2017-08-22,3752.3,3711.5619999999994
2017-08-23,3756.09,3713.571
2017-08-24,3734.65,3716.076000000001
2017-08-25,3795.75,3717.9489999999996
2017-08-28,3842.71,3732.7889999999998
2017-08-29,3834.54,3747.5919999999996
2017-08-30,3834.3,3760.44
2017-08-31,3822.09,3773.7280000000005
2017-09-01,3830.54,3783.8089999999997
2017-09-04,3845.62,3794.3959999999997
2017-09-05,3857.05,3804.8590000000004
2017-09-06,3849.45,3815.3340000000003
2017-09-07,3829.87,3824.6699999999996
2017-09-08,3825.99,3834.192
2017-09-11,3825.65,3837.2159999999994
2017-09-12,3837.93,3835.5099999999998
2017-09-13,3842.61,3835.8489999999997
2017-09-14,3829.96,3836.6799999999994
2017-09-15,3831.3,3837.4669999999996
2017-09-18,3843.14,3837.543
2017-09-19,3832.12,3837.2950000000005
2017-09-20,3842.44,3834.8020000000006
2017-09-21,3837.82,3834.101
2017-09-22,3837.73,3834.8959999999997
2017-09-25,3817.79,3836.0700000000006
2017-09-26,3820.78,3835.2840000000006
2017-09-27,3821.2,3833.5690000000004
2017-09-28,3822.54,3831.428
2017-09-29,3836.5,3830.686
2017-10-09,3882.21,3831.2059999999997
2017-10-10,3889.86,3835.113
2017-10-11,3902.69,3840.887
2017-10-12,3912.95,3846.9120000000003
2017-10-13,3921.0,3854.425
2017-10-16,3913.45,3862.7519999999995
2017-10-17,3913.07,3872.3179999999993
2017-10-18,3944.16,3881.547
2017-10-19,3931.25,3893.8430000000008
2017-10-20,3926.85,3904.714
2017-10-23,3930.8,3913.749
2017-10-24,3959.4,3918.608
2017-10-25,3976.95,3925.5620000000004
2017-10-26,3993.58,3932.988
2017-10-27,4021.97,3941.0510000000004
2017-10-30,4009.72,3951.148
2017-10-31,4006.72,3960.775
2017-11-01,3996.62,3970.1400000000003
2017-11-02,3997.13,3975.386
2017-11-03,3992.7,3981.9739999999997
2017-11-06,4020.89,3988.5589999999997
2017-11-07,4054.25,3997.5679999999993
2017-11-08,4048.01,4007.053
2017-11-09,4075.9,4014.1590000000006
2017-11-10,4111.91,4022.3910000000005
2017-11-13,4128.07,4031.3850000000007
2017-11-14,4099.35,4043.2200000000003
2017-11-15,4073.67,4052.4829999999993
2017-11-16,4105.01,4060.1879999999996
2017-11-17,4120.85,4070.976
2017-11-20,4143.83,4083.7909999999997
2017-11-21,4217.7,4096.085
2017-11-22,4227.57,4112.429999999999
2017-11-23,4102.4,4130.3859999999995
2017-11-24,4104.2,4133.036
2017-11-27,4049.95,4132.265
2017-11-28,4055.82,4124.4529999999995
2017-11-29,4053.75,4120.099999999999
2017-11-30,4006.1,4118.107999999999
2017-12-01,3998.14,4108.217
2017-12-04,4018.86,4095.946
2017-12-05,4040.17,4083.4489999999996
2017-12-06,4015.82,4065.696
2017-12-07,3971.06,4044.5209999999997
2017-12-08,4003.38,4031.3869999999997
2017-12-11,4069.5,4021.3049999999994
2017-12-12,4016.02,4023.2599999999998
2017-12-13,4050.09,4019.2799999999997
2017-12-14,4026.15,4018.9139999999998
2017-12-15,3980.86,4020.9190000000003
2017-12-18,3985.29,4019.1910000000003
2017-12-19,4035.33,4015.8340000000003
2017-12-20,4030.49,4015.35
2017-12-21,4067.85,4016.817
2017-12-22,4054.6,4026.496
2017-12-25,4041.54,4031.618
2017-12-26,4053.62,4028.822
2017-12-27,3991.21,4032.582
2017-12-28,4018.9,4026.6940000000004
2017-12-29,4030.85,4025.969
2018-01-02,4087.4,4030.968
2018-01-03,4111.39,4041.179
2018-01-04,4128.81,4048.785
2018-01-05,4138.75,4058.6169999999997
